industry,count,industry_short_name,industry_short_name_lower,exact_match,max_fuzz_ratio_score,fuzz_ratio_candidates,max_fuzz_partial_ratio_score,fuzz_partial_ratio_candidates,manual_match,manual_match_level1_sector
Museums and Institutions industry,1,Museums and Institutions,museums and institutions,False,50,"['distributors', 'health care distributors']",67,['distributors'],other,other
Furniture industry,1,Furniture,furniture,False,47,"['software', 'homefurnishing retail']",62,['transportation infrastructure'],homefurnishing retail,consumer discretionary
Religious Institutions industry,1,Religious Institutions,religious institutions,False,47,['distributors'],67,['distributors'],other,other
Tobacco industry,1,Tobacco,tobacco,True,100,['tobacco'],100,"['food, beverage & tobacco', 'tobacco']",tobacco,consumer staples
Computer & Network Security industry,1,Computer & Network Security,computer & network security,False,54,"['computer & electronics retail', 'hotel & resort reits ']",52,"['computer & electronics retail', 'renewable electricity ', 'hotel & resort reits ']",other,other
Arts and Crafts industry,1,Arts and Crafts,arts and crafts,False,44,['highways & railtracks'],55,['road & rail'],other,other
Building Materials industry,1,Building Materials,building materials,False,67,['materials'],100,['materials'],materials,materials
Photography industry,1,Photography,photography,False,42,['biotechnology'],56,"['information technology', 'health care technology', 'biotechnology']",other,other
Wine and Spirits industry,1,Wine and Spirits,wine and spirits,False,52,['industrials'],60,['banks'],other,other
Mining & Metals industry,1,Mining & Metals,mining & metals,False,56,['homefurnishing retail'],73,['oil & gas refining & marketing'],other,other
Government Relations industry,1,Government Relations,government relations,False,54,['department stores'],65,['home improvement retail'],other,other
Law Practice industry,1,Law Practice,law practice,False,52,['pharmaceuticals'],58,"['pharmaceuticals, biotechnology & life sciences', 'pharmaceuticals', 'security & alarm services', 'real estate operating companies - discontinued effective close of aug 31, 2016', 'real estate operating companies']",other,other
Legislative Office industry,1,Legislative Office,legislative office,False,53,['alternative carriers'],63,['office reits '],other,other
Professional Training & Coaching industry,1,Professional Training & Coaching,professional training & coaching,False,60,['professional services'],71,['professional services'],other,other
Consumer Services industry,1,Consumer Services,consumer services,True,100,['consumer services'],100,"['consumer services', 'diversified consumer services', 'specialized consumer services']",consumer services,consumer discretionary
Architecture & Planning industry,1,Architecture & Planning,architecture & planning,False,46,['casinos & gaming'],56,"['containers & packaging', 'machinery', 'publishing']",other,other
Political Organization industry,1,Political Organization,political organization,False,49,['commercial printing'],64,['transportation'],other,other
Graphic Design industry,1,Graphic Design,graphic design,False,46,['retail reits'],56,['advertising'],other,other
Law Enforcement industry,1,Law Enforcement,law enforcement,False,49,['heavy electrical equipment'],53,"['real estate management & development - discontinued effective close of aug 31, 2016', 'real estate management & development', 'human resource & employment services', 'movies & entertainment', 'home entertainment software']",other,other
Wireless industry,1,Wireless,wireless,False,62,['airlines'],100,['wireless telecommunication services'],wireless telecommunication services,telecommunication services
"Glass, Ceramics & Concrete industry",1,"Glass, Ceramics & Concrete","glass, ceramics & concrete",False,49,"['oil, gas & consumable fuels']",67,['chemicals'],other,other
Primary/Secondary Education industry,1,Primary/Secondary Education,primary/secondary education,False,49,['semiconductors'],67,['education services'],education services,consumer discretionary
