org_profile_link,count_person,avg_word_length,median_word_length
/company/unitedhealth-group?trk=ppro_cprof,7340,128.61893732970026,103
/company/infosys?trk=ppro_cprof,7316,152.8425369054128,127
/company/tata-consultancy-services?trk=ppro_cprof,7304,154.6365005476451,130
/company/unisys?trk=ppro_cprof,7303,139.838833356155,111
/company/american-red-cross?trk=ppro_cprof,7291,132.49773693594844,105
/company/aerotek?trk=ppro_cprof,7211,130.76355567882402,104
/company/amazon?trk=ppro_cprof,7202,130.11663426825882,104
/company/cognizant-technology-solutions?trk=ppro_cprof,7149,156.6779969226465,131
/company/cvs-caremark-corporation?trk=ppro_cprof,6936,125.12990196078431,99
/company/university-of-michigan?trk=ppro_cprof,6895,132.71602610587382,105
/company/bristol-myers-squibb?trk=ppro_cprof,6863,133.7193647093108,107
/company/urs-corporation?trk=ppro_cprof,6860,139.98236151603498,114
/company/peace-corps?trk=ppro_cprof,6856,131.83051341890314,104
/company/new-york-life-insurance-company?trk=ppro_cprof,6784,151.61409198113208,133
/company/robert-half-international?trk=ppro_cprof,6742,139.96336398694748,111
/company/army-national-guard?trk=ppro_cprof,6733,133.18743502153572,107
/company/aetna?trk=ppro_cprof,6722,129.66438559952394,103
/company/liberty-mutual-insurance?trk=ppro_cprof,6699,125.63949843260188,101
/company/penn-state-university?trk=ppro_cprof,6685,134.78952879581152,106
/company/novartis?trk=ppro_cprof,6681,129.63703038467295,104
/company/walt-disney-world?trk=ppro_cprof,6595,129.7420773313116,101
/company/bp?trk=ppro_cprof,6588,136.28764420157862,108
/company/bae-systems?trk=ppro_cprof,6533,135.1144956375325,109
/company/department-of-veterans-affairs?trk=ppro_cprof,6442,136.8677429369761,112
/company/merrilllynch?trk=ppro_cprof,6400,147.01890625,117
/company/gap-inc.?trk=ppro_cprof,6380,123.92523510971787,98
/company/hsbc?trk=ppro_cprof,6318,124.44507755618866,100
/company/kellyservices?trk=ppro_cprof,6239,125.33915691617247,101
/company/gehealthcare?trk=ppro_cprof,6228,132.5014450867052,106
/company/philips?trk=ppro_cprof,6223,133.64679415073115,108
/company/pnc-bank?trk=ppro_cprof,6214,121.53990988091407,97
/company/the-ohio-state-university?trk=ppro_cprof,6198,130.6940948693127,104
/company/gecapital?trk=ppro_cprof,6175,127.31611336032388,101
/company/michigan-state-university?trk=ppro_cprof,6106,132.6030134294137,105
/company/johnson-controls?trk=ppro_cprof,6096,132.16338582677164,105
/company/ericsson?trk=ppro_cprof,6056,140.4446829590489,113
/company/united-states-department-of-defense?trk=ppro_cprof,6049,142.49396594478426,115
/company/aig?trk=ppro_cprof,5989,134.6765737184839,106
/company/university-of-southern-california?trk=ppro_cprof,5979,144.65445726710152,116
/company/time-warner-cable?trk=ppro_cprof,5979,129.68088309081787,103
/company/coldwell-banker?trk=ppro_cprof,5954,155.2668794088008,125
/company/kohls-department-stores?trk=ppro_cprof,5943,120.05889281507656,96
/company/ymca?trk=ppro_cprof,5935,125.41499578770008,99
/company/yahoo?trk=ppro_cprof,5927,142.89843090939766,114
/company/l-3-communications?trk=ppro_cprof,5854,138.33378886231637,112
/company/circuit-city?trk=ppro_cprof,5834,124.14844017826535,99
/company/abercrombie-&-fitch?trk=ppro_cprof,5788,120.19557705597788,96
/company/purdue-university?trk=ppro_cprof,5781,132.52516865594188,105
/company/uc-berkeley?trk=ppro_cprof,5780,137.69498269896195,109
/company/medtronic?trk=ppro_cprof,5725,130.17187772925763,103
/company/theuniversityoftexasataustin-?trk=ppro_cprof,5724,133.17575122292104,105
/company/staples?trk=ppro_cprof,5716,121.44839048285515,98
/company/pepsico?trk=ppro_cprof,5685,130.02849604221635,102
/company/chrysler?trk=ppro_cprof,5674,131.18628833274585,104
/company/eastman-kodak?trk=ppro_cprof,5670,137.52239858906526,111
/company/j-p-morgan?trk=ppro_cprof,5668,130.07674664784756,104
/company/nationwide-insurance?trk=ppro_cprof,5668,126.56086803105151,99
/company/eli-lilly-and-company?trk=ppro_cprof,5649,133.82067622588067,106
/company/h&r-block?trk=ppro_cprof,5643,123.20148856990963,99
/company/suntrust-bank?trk=ppro_cprof,5643,125.75208222576643,101
/company/nbcuniversal-inc.?trk=ppro_cprof,5564,143.8745506829619,111
/company/baxter-healthcare?trk=ppro_cprof,5536,131.9349710982659,106
/company/capgemini?trk=ppro_cprof,5508,153.61220043572985,125
/company/cigna?trk=ppro_cprof,5504,129.64262354651163,104
/company/the-coca-cola-company?trk=ppro_cprof,5478,133.00036509675064,105
/company/sanofi-?trk=ppro_cprof,5469,132.3408301334796,107
/company/bny-mellon?trk=ppro_cprof,5465,126.68746569075938,101
/company/ucla?trk=ppro_cprof,5438,141.92074292019126,113
/company/farmers-insurance?trk=ppro_cprof,5415,128.41809787626963,102
/company/stanford-university?trk=ppro_cprof,5402,141.4544613106257,111
/company/aflac?trk=ppro_cprof,5399,130.26467864419337,104
/company/arizona-state-university?trk=ppro_cprof,5359,137.7715991789513,110
/company/cbre?trk=ppro_cprof,5355,139.36918767507004,113
/company/viacom?trk=ppro_cprof,5347,145.89863474845708,113
/company/symantec?trk=ppro_cprof,5344,139.97791916167665,113
/company/victoria's-secret?trk=ppro_cprof,5313,119.42687747035573,96
/company/new-york-university?trk=ppro_cprof,5299,150.29835818078882,118
/company/goldman-sachs?trk=ppro_cprof,5294,132.46411031356251,106
/company/university-of-wisconsin-madison?trk=ppro_cprof,5203,131.16759561791275,103
/company/sap?trk=ppro_cprof,5196,150.12875288683603,120
/company/boston-scientific?trk=ppro_cprof,5169,129.9131360030954,103
/company/university-of-florida?trk=ppro_cprof,5159,139.6361698003489,111
/company/aon-hewitt?trk=ppro_cprof,5140,128.18754863813228,103
/company/the-hartford?trk=ppro_cprof,5089,125.88150913735508,101
/company/qwest?trk=ppro_cprof,5087,136.6298407705917,110
/company/travelers?trk=ppro_cprof,5075,124.83251231527093,99
/company/3m?trk=ppro_cprof,5069,131.31465772341684,104
/company/aramark?trk=ppro_cprof,5062,122.78881864875544,97
/company/us-census-bureau?trk=ppro_cprof,5062,128.14757013038326,101
/company/itt-technical-institute?trk=ppro_cprof,5043,136.81558596073765,108
/company/remax?trk=ppro_cprof,5000,154.7856,126
/company/convergys?trk=ppro_cprof,4891,131.13289715804538,104
/company/fifth-third-bank?trk=ppro_cprof,4836,122.017576509512,97
/company/columbia-university?trk=ppro_cprof,4834,142.9755895738519,111
/company/cardinal-health?trk=ppro_cprof,4824,127.38660862354892,102
/company/aol?trk=ppro_cprof,4821,139.11325451151214,110
/company/ubs?trk=ppro_cprof,4755,133.65867507886435,105
/company/texas-a&m-university?trk=ppro_cprof,4754,134.87799747580985,108
/company/ncr-corporation?trk=ppro_cprof,4741,136.11031427968783,109
/company/nike?trk=ppro_cprof,4708,131.04694137638063,104
/company/usps?trk=ppro_cprof,4689,128.5062913201109,99
/company/rutgers-university?trk=ppro_cprof,4660,132.75364806866952,104
/company/bearingpoint?trk=ppro_cprof,4642,146.1361482119776,121
/company/university-of-california-at-san-diego?trk=ppro_cprof,4641,134.2268907563025,107
/company/chevron?trk=ppro_cprof,4638,139.03040103492884,110
/company/td?trk=ppro_cprof,4614,123.07542262678804,99
/company/north-carolina-state-university?trk=ppro_cprof,4613,131.53522653370908,103
/company/radioshack?trk=ppro_cprof,4611,127.02103665148557,100
/company/coldwell-banker-residential-brokerage?trk=ppro_cprof,4606,157.86191923577942,128
/company/ca-technologies?trk=ppro_cprof,4598,143.29056111352762,115
/company/university-of-maryland?trk=ppro_cprof,4594,137.169786678276,108
/company/charles-schwab?trk=ppro_cprof,4590,135.3908496732026,109
/company/genentech?trk=ppro_cprof,4561,136.21530366147775,111
/company/credit-suisse?trk=ppro_cprof,4559,135.34327703443736,109
/company/university-of-illinois-at-urbana-champaign?trk=ppro_cprof,4556,131.59328358208955,105
/company/harvard-university?trk=ppro_cprof,4554,144.21365832235398,113
/company/amgen?trk=ppro_cprof,4537,135.3601498787745,110
/company/u.s.-department-of-state?trk=ppro_cprof,4485,141.07380156075808,110
/company/devry-university?trk=ppro_cprof,4471,133.34041601431448,107
/company/fluor?trk=ppro_cprof,4463,143.32377324669505,116
/company/mondelez-international?trk=ppro_cprof,4461,126.04864380183815,98
/company/kroger?trk=ppro_cprof,4448,119.66726618705036,95
/company/office-depot?trk=ppro_cprof,4433,125.09993232573878,100
/company/hilton-worldwide?trk=ppro_cprof,4427,128.29591145245087,102
/company/saicinc?trk=ppro_cprof,4421,145.1316444243384,118
/company/exxonmobil?trk=ppro_cprof,4368,137.56478937728937,108
/company/qualcomm?trk=ppro_cprof,4341,137.718267680258,109
/company/mckesson?trk=ppro_cprof,4324,131.3605457909343,105
/company/schlumberger?trk=ppro_cprof,4306,132.43149094287043,106
/company/colorado-state-university?trk=ppro_cprof,4305,139.77235772357724,117
/company/barnes-&-noble?trk=ppro_cprof,4291,126.45094383593567,100
/company/astrazeneca?trk=ppro_cprof,4278,130.7190275829827,105
/company/wells-fargo-advisors?trk=ppro_cprof,4248,139.9580979284369,110
/company/lexisnexis?trk=ppro_cprof,4247,134.37085001177303,107
/company/vector-marketing?trk=ppro_cprof,4234,123.44355219650448,97
/company/american-airlines?trk=ppro_cprof,4231,133.54289766012764,106
/company/u.s.-coast-guard?trk=ppro_cprof,4224,142.41311553030303,114
/company/edward-jones?trk=ppro_cprof,4210,132.8,105
/company/brigham-young-university?trk=ppro_cprof,4209,125.28011404133998,98
/company/manpowergroup?trk=ppro_cprof,4204,132.57873453853472,105
/company/uc-davis?trk=ppro_cprof,4167,131.83705303575715,104
/company/eaton-corporation?trk=ppro_cprof,4166,130.47551608257322,105
/company/comcast-cable?trk=ppro_cprof,4160,128.70961538461538,102
/company/mit?trk=ppro_cprof,4160,138.359375,110
/company/georgia-institute-of-technology?trk=ppro_cprof,4146,130.43656536420647,103
/company/u.s.-house-of-representatives?trk=ppro_cprof,4145,144.56477683956575,112
/company/avaya?trk=ppro_cprof,4134,134.03120464441218,108
/company/xerox-service?trk=ppro_cprof,4119,135.64773003156105,109
/company/caterpillar-inc?trk=ppro_cprof,4118,131.27051966974258,103
/company/boston-university?trk=ppro_cprof,4087,130.57597259603622,103
/company/jacobs?trk=ppro_cprof,4060,140.88620689655173,115
/company/intuit?trk=ppro_cprof,4044,141.0225024727992,115
/company/american-cancer-society?trk=ppro_cprof,4022,129.8209845847837,103
/company/avon?trk=ppro_cprof,3993,129.94415226646632,101
/company/sodexo?trk=ppro_cprof,3986,124.46813848469644,99
/company/deutsche-bank?trk=ppro_cprof,3973,135.7810218978102,107
/company/first-data-corporation?trk=ppro_cprof,3965,130.49760403530897,104
/company/blockbuster?trk=ppro_cprof,3952,124.98405870445345,98
/company/american-eagle-outfitters?trk=ppro_cprof,3944,118.11992900608519,94
/company/mary-kay-inc?trk=ppro_cprof,3915,129.7808429118774,104
/company/united-airlines?trk=ppro_cprof,3913,132.5139279325326,104
/company/delphi?trk=ppro_cprof,3908,130.6619754350051,104
/company/humana?trk=ppro_cprof,3901,129.02178928479876,103
/company/university-of-pennsylvania?trk=ppro_cprof,3897,137.71747498075442,108
/company/aecom_15656?trk=ppro_cprof,3878,146.52527075812273,121
/company/clear-channel-radio?trk=ppro_cprof,3874,137.01497160557562,108
/company/pitney-bowes?trk=ppro_cprof,3860,131.80310880829015,106
/company/the-church-of-jesus-christ-of-latter-day-saints--?trk=ppro_cprof,3846,128.5470618824753,102
/company/united-states-army-reserve?trk=ppro_cprof,3842,138.48125976054138,111
/company/wellpoint?trk=ppro_cprof,3841,127.92267638635772,102
/company/dow-chemical?trk=ppro_cprof,3836,129.90198123044837,104
/company/massmutual-financial-group?trk=ppro_cprof,3830,142.4592689295039,118
/company/kmart?trk=ppro_cprof,3818,120.99109481403876,94
/company/general-dynamics?trk=ppro_cprof,3806,140.82422490803992,112
/company/kforce?trk=ppro_cprof,3801,142.90055248618785,119
/company/officemax?trk=ppro_cprof,3800,125.78105263157894,100
/company/level-3-communications?trk=ppro_cprof,3794,134.98708487084872,108
/company/state-street?trk=ppro_cprof,3778,122.51879301217575,97
/company/northwestern-university?trk=ppro_cprof,3756,135.56283280085196,108
/company/caci-international-inc?trk=ppro_cprof,3748,136.9941302027748,112
/company/fiserv?trk=ppro_cprof,3740,130.43422459893048,105
/company/amoura-rose-beauty?trk=ppro_cprof,3739,129.9277881786574,100
/company/cornell-university?trk=ppro_cprof,3734,136.20889126941617,107
/company/cgi?trk=ppro_cprof,3733,136.48031074203053,110
/company/fedex?trk=ppro_cprof,3728,129.66255364806867,102
/company/amd?trk=ppro_cprof,3719,137.2640494756655,109
/company/wells-fargo-home-mortgage?trk=ppro_cprof,3714,128.38072159396876,102
/company/the-university-of-arizona?trk=ppro_cprof,3708,140.2742718446602,112
/company/darden-restaurants?trk=ppro_cprof,3700,124.19702702702703,98
/company/keybank?trk=ppro_cprof,3698,122.63656030286641,98
/company/dupont?trk=ppro_cprof,3692,135.34615384615384,109
/company/century-21?trk=ppro_cprof,3660,148.2825136612022,118
/company/safeway?trk=ppro_cprof,3658,126.46828868234007,101
/company/delta-air-lines?trk=ppro_cprof,3656,129.6723194748359,103
/company/cox-communications?trk=ppro_cprof,3648,133.9830043859649,106
/company/paychex?trk=ppro_cprof,3633,139.21056977704376,115
/company/university-of-pittsburgh?trk=ppro_cprof,3633,138.66253784750896,107
/company/university-of-illinois-at-chicago?trk=ppro_cprof,3624,138.11423841059602,110
/company/adobe?trk=ppro_cprof,3609,141.92768079800499,116
